,name,discounted_price,original_price,discount,rating
0,"Infinix HOT 30i 6.56"" 4GB RAM/128GB ROM Android 12 - Black","₦ 93,000","₦ 180,300",48%,"<div class=""stars _s"">4.3 out of 5<div class=""in"" style=""width:86%""></div></div>"
1,"itel P40 6.6"" 4GB RAM/64GB ROM Android 12 - Blue","₦ 52,900","₦ 68,500",23%,"<div class=""stars _s"">4.2 out of 5<div class=""in"" style=""width:84%""></div></div>"
2,"Samsung Galaxy A14  6.6"" 4GB RAM/128GB ROM Android 13  - Black","₦ 127,545","₦ 138,000",8%,"<div class=""stars _s"">4.2 out of 5<div class=""in"" style=""width:84%""></div></div>"
3,"XIAOMI Redmi 12 6.79"" 8GB RAM/256 GB ROM Android 13-Midnight Black","₦ 123,200","₦ 130,000",5%,"<div class=""stars _s"">4.2 out of 5<div class=""in"" style=""width:84%""></div></div>"
4,"Infinix Smart 7 HD 6.6"" 2GB RAM/64GB ROM 4G Android 12 - White","₦ 72,000","₦ 111,000",35%,"<div class=""stars _s"">4.3 out of 5<div class=""in"" style=""width:86%""></div></div>"
5,"Tecno Pop 7 Pro 6.6"" 4GB RAM/64GB ROM Android 12 - Black","₦ 70,723","₦ 121,373",42%,"<div class=""stars _s"">4.3 out of 5<div class=""in"" style=""width:86%""></div></div>"
6,"itel P40 6.6"" 4GB RAM/64GB ROM Android 12 - Black","₦ 52,900","₦ 60,200",12%,"<div class=""stars _s"">4.4 out of 5<div class=""in"" style=""width:88.00000000000001%""></div></div>"
7,"Tecno Spark 10c 6.6"" 4GB RAM/128GB ROM Android 13 - Black","₦ 92,500","₦ 140,980",34%,"<div class=""stars _s"">4.4 out of 5<div class=""in"" style=""width:88.00000000000001%""></div></div>"
8,"Oppo Refurbished OPPO  F7 6.2 ""FHD+   6GB+128GB ,  Black","₦ 45,990","₦ 89,990",49%,"<div class=""stars _s"">3.7 out of 5<div class=""in"" style=""width:74%""></div></div>"
9,"itel P40 Plus 6.6"" 4GB RAM/128GB ROM Android 13 - Blue","₦ 67,900","₦ 85,000",20%,"<div class=""stars _s"">4.5 out of 5<div class=""in"" style=""width:90%""></div></div>"
10,"Tecno Camon 20 6.67"" 8GB/256GB Android 13 -GlacierGlow + Free Gift","₦ 156,615","₦ 270,800",42%,"<div class=""stars _s"">4.6 out of 5<div class=""in"" style=""width:91.99999999999999%""></div></div>"
11,"Infinix Hot 30i 6.6"" 4GB RAM/128GB ROM Android 12 - Blue","₦ 93,000","₦ 186,300",50%,"<div class=""stars _s"">4.4 out of 5<div class=""in"" style=""width:88.00000000000001%""></div></div>"
12,"Infinix Smart 7 Plus 6.6"" 4GB RAM/64GB ROM Android 12 - Green","₦ 73,186","₦ 120,935",39%,"<div class=""stars _s"">4.2 out of 5<div class=""in"" style=""width:84%""></div></div>"
13,"XIAOMI Redmi A2+ 6.52"" 2GB RAM/32GB ROM Android 12 - Light Blue","₦ 47,900","₦ 69,000",31%,"<div class=""stars _s"">4.6 out of 5<div class=""in"" style=""width:91.99999999999999%""></div></div>"
14,"Kuhl 14Pro Max 6.82FHD,4GB+64GB, 5mp+13mp, 5000 MA Battery Black","₦ 59,990","₦ 69,990",14%,"<div class=""stars _s"">3.8 out of 5<div class=""in"" style=""width:76%""></div></div>"
15,"Tecno Spark 10 Pro 6.8"" 8GB RAM/128GB ROM Android 13 - Black","₦ 119,087","₦ 200,000",40%,"<div class=""stars _s"">4.4 out of 5<div class=""in"" style=""width:88.00000000000001%""></div></div>"
16,"itel A18 5.0"" 1GB RAM/32GB ROM Android 11 - Morion Grey","₦ 36,450","₦ 40,000",9%,"<div class=""stars _s"">3.9 out of 5<div class=""in"" style=""width:78%""></div></div>"
17,IPhone X 3GB RAM+64GB (Renewed) -White,"₦ 187,000","₦ 319,608",41%,"<div class=""stars _s"">4.1 out of 5<div class=""in"" style=""width:81.99999999999999%""></div></div>"
18,"XIAOMI Redmi 12 6.79"" 4GB RAM/128GB ROM Android 13 - Midnight Black","₦ 110,010","₦ 120,000",8%,"<div class=""stars _s"">4.8 out of 5<div class=""in"" style=""width:96%""></div></div>"
19,"Samsung Galaxy A14 6.6"" 4GB RAM/64GB ROM Android 13 - Black","₦ 121,520","₦ 135,000",10%,"<div class=""stars _s"">4.5 out of 5<div class=""in"" style=""width:90%""></div></div>"
20,"Tecno Pop 7 Pro 6.6"" 3GB RAM/64GB ROM Android 12 - Blue","₦ 75,800","₦ 119,216",36%,"<div class=""stars _s"">4.3 out of 5<div class=""in"" style=""width:86%""></div></div>"
21,IPhone X 3GB RAM+64GB(Renewed)  -Black,"₦ 187,000","₦ 319,608",41%,"<div class=""stars _s"">4.1 out of 5<div class=""in"" style=""width:81.99999999999999%""></div></div>"
22,"XIAOMI Redmi 12 6.79"" 8GB RAM/256GB ROM Android 13 - Midnight Black","₦ 127,900","₦ 149,000",14%,"<div class=""stars _s"">4.3 out of 5<div class=""in"" style=""width:86%""></div></div>"
23,"Tecno POP 7 6.6"" 2GB RAM/ 64GB ROM Android 12 - Black","₦ 72,000","₦ 110,800",35%,"<div class=""stars _s"">4.2 out of 5<div class=""in"" style=""width:84%""></div></div>"
24,"Tecno POP 7 6.6"" 2GB RAM/ 64GB ROM Android 12 - Blue","₦ 72,000","₦ 110,800",35%,"<div class=""stars _s"">4.2 out of 5<div class=""in"" style=""width:84%""></div></div>"
25,"itel S23 6.6"", 128GB ROM + Up To 8GB RAM, 50MP Camera, 5000mAh","₦ 80,990","₦ 100,000",19%,"<div class=""stars _s"">3.9 out of 5<div class=""in"" style=""width:78%""></div></div>"
26,"Samsung Galaxy A03 Core 6.5"" 2GB RAM/ 32GB ROM Android 11- Onyx Black","₦ 63,350","₦ 94,740",33%,"<div class=""stars _s"">4.2 out of 5<div class=""in"" style=""width:84%""></div></div>"
27,"Tecno Spark10 Pro 6.8"" 8GB/256GB ROM Android13 - Black + Free Gift","₦ 141,500","₦ 230,000",38%,"<div class=""stars _s"">4.5 out of 5<div class=""in"" style=""width:90%""></div></div>"
28,IPhone 6 16GB(Refurbished)-Grey (Grade A),"₦ 45,500","₦ 90,196",50%,"<div class=""stars _s"">4.1 out of 5<div class=""in"" style=""width:81.99999999999999%""></div></div>"
29,"Samsung Galaxy A24 6.5"" 6GB RAM/128GB ROM Android 13  - Black","₦ 194,250","₦ 220,000",12%,"<div class=""stars _s"">4.8 out of 5<div class=""in"" style=""width:96%""></div></div>"
30,"XIAOMI Redmi Note 12 6.67"" 4GB RAM/128GB ROM Android 13 - Onyx Gray","₦ 127,570","₦ 145,000",12%,"<div class=""stars _s"">4 out of 5<div class=""in"" style=""width:80%""></div></div>"
31,"itel A60s 6.6""HD 4GB RAM/128GB ROM Android 12 - Green","₦ 57,130","₦ 75,000",24%,"<div class=""stars _s"">5 out of 5<div class=""in"" style=""width:100%""></div></div>"
32,"FreeYond F9,2GB+64GB,6.52"" Smartphone,4G,5000mAh,Black","₦ 49,900","₦ 91,000",45%,"<div class=""stars _s"">4.3 out of 5<div class=""in"" style=""width:86%""></div></div>"
33,"XIAOMI Redmi 12 6.79"" 4GB RAM/128GB ROM Android 13 - Midnight Black","₦ 115,900","₦ 149,000",22%,"<div class=""stars _s"">4.1 out of 5<div class=""in"" style=""width:81.99999999999999%""></div></div>"
34,"Tecno Spark 10 Pro 6.8"" 8GB RAM/128GB ROM Android 12 - White","₦ 119,087","₦ 145,000",18%,"<div class=""stars _s"">4.4 out of 5<div class=""in"" style=""width:88.00000000000001%""></div></div>"
35,"XIAOMI Redmi Note 12S 6.43"" 8GB RAM/256GB ROM Android 13 - Black","₦ 168,950","₦ 195,000",13%,"<div class=""stars _s"">4.6 out of 5<div class=""in"" style=""width:91.99999999999999%""></div></div>"
36,"XIAOMI Redmi 12 6.79"" 8GB RAM/128GB ROM Android 13 - Midnight Black","₦ 116,650","₦ 130,000",10%,"<div class=""stars _s"">4 out of 5<div class=""in"" style=""width:80%""></div></div>"
37,"Tecno POP 7(BF6) 6.6"" HD+ 2GB RAM/64GB ROM Android 12 - Capri Blue","₦ 66,850","₦ 90,000",26%,"<div class=""stars _s"">4.2 out of 5<div class=""in"" style=""width:84%""></div></div>"
38,"Kuhl 14Pro Max 6.82FHD,4GB+64GB, 5mp+13mp, 5000 MA Battery White","₦ 59,990","₦ 69,990",14%,
39,"Refurbished OPPO F11 6.53"" Full HD Display 6GB+128GB 48MP Dual Camera 4020mAh Battery 4G LTE Smartphone","₦ 49,990","₦ 119,980",58%,"<div class=""stars _s"">4.2 out of 5<div class=""in"" style=""width:84%""></div></div>"
40,"Infinix HOT 30i 6.56"" 4GB RAM/128GB ROM Android 12 - Black","₦ 93,000","₦ 180,300",48%,"<div class=""stars _s"">4.3 out of 5<div class=""in"" style=""width:86%""></div></div>"
41,"XIAOMI Redmi 12 6.79"" 8GB RAM/256 GB ROM Android 13-Midnight Black","₦ 123,200","₦ 130,000",5%,"<div class=""stars _s"">4.2 out of 5<div class=""in"" style=""width:84%""></div></div>"
42,"itel P40 6.6"" 4GB RAM/64GB ROM Android 12 - Blue","₦ 52,900","₦ 68,500",23%,"<div class=""stars _s"">4.2 out of 5<div class=""in"" style=""width:84%""></div></div>"
43,"itel P40 Plus 6.6"" 4GB RAM/128GB ROM Android 13 - Blue","₦ 67,900","₦ 85,000",20%,"<div class=""stars _s"">4.5 out of 5<div class=""in"" style=""width:90%""></div></div>"
44,"Samsung Galaxy A14  6.6"" 4GB RAM/128GB ROM Android 13  - Black","₦ 127,545","₦ 138,000",8%,"<div class=""stars _s"">4.2 out of 5<div class=""in"" style=""width:84%""></div></div>"
45,"Infinix Smart 7 HD 6.6"" 2GB RAM/64GB ROM 4G Android 12 - White","₦ 72,000","₦ 111,000",35%,"<div class=""stars _s"">4.3 out of 5<div class=""in"" style=""width:86%""></div></div>"
