,title,price,imageCount,link
0,Honda Civic 1.4 2006 Silver,"₦ 1,600,000",8,https://jiji.ng/ajah/cars/honda-civic-1-4-2006-silver-nPszIgPY7cRrWlrE1PmtbKgX.html
1,Acura MDX 2014 White,"₦ 9,000,000",13,https://jiji.ng/lagos-abule-egba/cars/acura-mdx-2014-white-uaynlA2WiVrHrni0JhiJoNNY.html
2,Land Rover Range Rover Evoque Prestige 2012 Silver,"₦ 5,450,000",5,https://jiji.ng/ajah/cars/land-rover-range-rover-evoque-prestige-2012-silver-eZy7sq4n2duP750LsyC0wwZX.html
3,Lexus RX 350 AWD 2008 Gray,"₦ 5,700,000",7,https://jiji.ng/lagos-island-west/cars/lexus-rx-350-awd-2008-gray-tuKIb4hmIDWg3AOXWQS7lRcU.html
4,Lexus RX 2004 Gray,"₦ 1,750,000",7,https://jiji.ng/ibadan/cars/lexus-rx-2004-gray-kkt4MxxvZxvJaQ1y3GoyC1xS.html
5,Mercedes-Benz GLE-Class 2019 White,"₦ 76,000,000",13,https://jiji.ng/surulere/cars/mercedes-benz-gle-class-2019-white-7DPYbhEzyPdhgYuDVr8Ai9Ts.html
6,Honda City 2010 Gold,"₦ 2,750,000",7,https://jiji.ng/port-harcourt/cars/honda-city-2010-gold-jHhe29ElMHoRzGBrPMGpMLe8.html
7,Ford Edge 2018 Black,"₦ 15,000,000",9,https://jiji.ng/ojodu/cars/ford-edge-2018-black-7Do3I8yUyxOeyP1wLr4DiJCx.html
8,Honda Accord 2012 Silver,"₦ 3,000,000",8,https://jiji.ng/ogba/cars/honda-accord-2012-silver-zBEga1HQ7Cqbyrk6reVFDQlX.html
9,Toyota Corolla 2004 Gray,"₦ 2,300,000",9,https://jiji.ng/lekki/cars/toyota-corolla-2004-gray-qhBdHOryX61NlRRpaVi8PaTp.html
10,Mercedes-Benz C300 2016 Black,"₦ 11,000,000",9,https://jiji.ng/lekki/cars/mercedes-benz-c300-2016-black-3eFlZIbPNOGE9wrdObOtEcvo.html
11,Toyota Camry 2013 White,"₦ 4,200,000",20,https://jiji.ng/lekki/cars/toyota-camry-2013-white-7SseiS1ykhOhFcKMeFvaKHEg.html
12,Nissan 350Z 2005 Red,"₦ 5,100,000",8,https://jiji.ng/kaduna-north/cars/nissan-350z-2005-red-iB2JwWIPXenSsgYP5uOkxC0k.html
13,BMW 328i 2008 White,"₦ 2,350,000",9,https://jiji.ng/lekki/cars/bmw-328i-2008-white-C6dezj0WFgJcxPznCb6pliiN.html
14,Toyota Camry 2008,"₦ 2,100,000",5,https://jiji.ng/gwarinpa/cars/toyota-camry-2008-zM4zGysgxKtb84cHVwhx0ovj.html
15,Honda Accord 2.4 i-VTEC Exec Automatic 2009 Burgundy,"₦ 1,950,000",6,https://jiji.ng/awka-south/cars/honda-accord-2-4-i-vtec-exec-automatic-2009-burgundy-sg4eMWtWXXvhDPTCJM0OGEFd.html
16,BMW 320i 2005 Black,"₦ 1,890,000",8,https://jiji.ng/lagos-abule-egba/cars/bmw-320i-2005-black-cR1q2G2eqlpS8z6RCDDRgRJ4.html
17,Toyota Matrix 2010 Gold,"₦ 3,700,000",12,https://jiji.ng/ibadan/cars/toyota-matrix-2010-gold-963QTjotfmfjmrqvR7vGeuFI.html
18,BMW 318i 2004 Green,"₦ 800,000",5,https://jiji.ng/gudu/cars/bmw-318i-2004-green-swHLUMZh7S1TGUdV9mEEfuN5.html
19,Toyota Aygo 2008 Black,"₦ 2,500,000",11,https://jiji.ng/alimosho/cars/toyota-aygo-2008-black-rXPk8aidUJ22jsg3i7lHxRJe.html
20,Lexus ES 300 2002 Gold,"₦ 2,350,000",5,https://jiji.ng/ibadan/cars/lexus-es-300-2002-gold-av8j4XlJfoVZLdvU7E0vywgS.html
21,Acura TL Automatic SH-AWD 2009 Gray,"₦ 3,400,000",13,https://jiji.ng/surulere/cars/acura-tl-automatic-sh-awd-2009-gray-9XvLmUs3Bl23XwVYdZWJoPlE.html
22,Apple iPhone X 64 GB Black,"₦ 80,000",2,https://jiji.ng/ikeja/mobile-phones/apple-iphone-x-64-gb-black-fsDRm1RRjFQjKzjSDvanS6lD.html
23,Apple iPhone 8 64 GB White,"₦ 90,000",11,https://jiji.ng/ajah/mobile-phones/apple-iphone-8-64-gb-white-n7Zpw0j1juYxcFc3IlXmpYe9.html
24,Apple iPhone X 64 GB White,"₦ 105,000",4,https://jiji.ng/enugu-north/mobile-phones/apple-iphone-x-64-gb-white-2QODmcGxCSoktgQOGZAuWOB.html
25,Apple iPhone X 256 GB Black,"₦ 165,000",6,https://jiji.ng/dutse/mobile-phones/apple-iphone-x-256-gb-black-uiXcxcshcMasGj5RWq9qN4y0.html
26,Apple iPhone 8 Plus 64 GB Black,"₦ 93,000",6,https://jiji.ng/port-harcourt/mobile-phones/apple-iphone-8-plus-64-gb-black-qhBJRYkTH6A84mzRn9Xt5b6f.html
27,Apple iPhone 12 Pro Max 128 GB Blue,"₦ 268,000",6,https://jiji.ng/ikeja/mobile-phones/apple-iphone-12-pro-max-128-gb-blue-hdai96ZGMiAMuRQxmdBU9EFJ.html
28,New Samsung Galaxy S10 Plus 128 GB White,"₦ 190,000",9,https://jiji.ng/ikeja/mobile-phones/new-samsung-galaxy-s10-plus-128-gb-white-zCe8EMpOeCipaeCsQmiI1jCk.html
29,Nokia 8.1 (X7) 128 GB Purple,"₦ 75,000",4,https://jiji.ng/ikeja/mobile-phones/nokia-8-1-x7-128-gb-purple-cQwMA5q4uQRcSSaaRSDInSI6.html
30,Samsung Galaxy A71 128 GB Blue,"₦ 115,000",3,https://jiji.ng/lugbe/mobile-phones/samsung-galaxy-a71-128-gb-blue-9ZEE4RxqaaFG8F1tWDS10XN5.html
31,Apple iPhone X 256 GB Black,"₦ 90,000",5,https://jiji.ng/osogbo/mobile-phones/apple-iphone-x-256-gb-black-195xSoQM2bV8zlXfGXhT4cOu.html
32,Apple iPhone X 64 GB White,"₦ 130,000",2,https://jiji.ng/central-business-district/mobile-phones/apple-iphone-x-64-gb-white-wdbIEq7Ywta2A5f6vO0SGrne.html
33,Apple iPhone 8 Plus 64 GB Black,"₦ 95,500",2,https://jiji.ng/port-harcourt/mobile-phones/apple-iphone-8-plus-64-gb-black-mUofofmp2PppfXh96Er5MlEs.html
34,Apple iPhone 7 Plus 32 GB Black,"₦ 58,000",4,https://jiji.ng/akure-south/mobile-phones/apple-iphone-7-plus-32-gb-black-roLVS5BXImQ8wiYdsO3BUQNn.html
35,Apple iPhone XR 128 GB Red,"₦ 120,000",3,https://jiji.ng/osogbo/mobile-phones/apple-iphone-xr-128-gb-red-mXiqbJpzNSXoe9N9RVtRhOKy.html
36,Apple iPhone X 64 GB White,"₦ 150,000",3,https://jiji.ng/ibadan/mobile-phones/apple-iphone-x-64-gb-white-ktUK1dp4PYDScufzmK7XXice.html
37,Samsung Galaxy A20 32 GB Black,"₦ 30,000",3,https://jiji.ng/warri-south/mobile-phones/samsung-galaxy-a20-32-gb-black-zxi7sVA3pAxWR3o907Bu6GS3.html
38,Apple iPhone X 64 GB White,"₦ 100,000",4,https://jiji.ng/mpape/mobile-phones/apple-iphone-x-64-gb-white-dSPjtRjUrJuywJ9oqzE5Lokc.html
39,Apple iPhone XS Max 64 GB White,"₦ 165,000",6,https://jiji.ng/ilorin-west/mobile-phones/apple-iphone-xs-max-64-gb-white-zafasyea0fhkbCZ3J9VHsQIH.html
40,Google Pixel 5 128 GB Green,"₦ 130,000",2,https://jiji.ng/ikeja/mobile-phones/google-pixel-5-128-gb-green-svAonK30YOomt2CyeEq4FoBM.html
41,Apple iPhone 8 Plus 64 GB Gold,"₦ 30,000",3,https://jiji.ng/ikeja/mobile-phones/apple-iphone-8-plus-64-gb-gold-oFb27mG4zMa6zAVDFE2n3bhx.html
42,Infinix Note 11 Pro 128 GB Gray,"₦ 110,000",3,https://jiji.ng/isiala-ngwa/mobile-phones/infinix-note-11-pro-128-gb-gray-BiXysGyuNhAc0NOG7d99FEDA.html
43,Apple iPhone 7 128 GB Rose Gold,"₦ 37,000",2,https://jiji.ng/lagos-abule-egba/mobile-phones/apple-iphone-7-128-gb-rose-gold-3WPY5PUyVZbIF9UEYYFxUldm.html
44,1bdrm Apartment in FHA for rent,"₦ 450,000 per annum",5,https://jiji.ng/fha/houses-apartments-for-rent/1bdrm-apartment-in-fha-for-rent-B4PB8aklce3FD1gZAiC1cq90.html
45,Furnished 1bdrm Room & Parlour in Ikorodu Garage for rent,"₦ 140,000 per annum",5,https://jiji.ng/ikorodu-garage/houses-apartments-for-rent/furnished-1bdrm-room-parlour-in-ikorodu-garage-for-rent-rNektQj3JOSrXP75XzpTZ9ln.html
46,"Studio Apartment in Oniru Private Estate, Lekki for rent","₦ 200,000 per half-year",5,https://jiji.ng/lekki/houses-apartments-for-rent/studio-apartment-in-oniru-private-estate-lekki-for-rent-ft1fEWvN13eChp1oezX0hrvG.html
47,"4bdrm Bungalow in Ile Ola Extension, Akinyele for rent","₦ 500,000 per annum",16,https://jiji.ng/akinyele/houses-apartments-for-rent/4bdrm-bungalow-in-ile-ola-extension-akinyele-for-rent-2X4YRlXNGMhcYXsrBmpJ7sHk.html
48,"Furnished 2bdrm Apartment in Bada, Ayobo for rent","₦ 350,000 per annum",9,https://jiji.ng/ayobo/houses-apartments-for-rent/furnished-2bdrm-apartment-in-bada-ayobo-for-rent-pFzPFX83VEpqyu3AcXeZ5LjR.html
49,"Furnished 2bdrm Apartment in Sijuade, Akure for rent","₦ 400,000 per annum",5,https://jiji.ng/akure-south/houses-apartments-for-rent/furnished-2bdrm-apartment-in-sijuade-akure-for-rent-41u5SfzHBLWv1EekK7o9mFWG.html
50,"Mini Flat in Peace Estate, Isolo for rent","₦ 700,000 per annum",8,https://jiji.ng/isolo/houses-apartments-for-rent/mini-flat-in-peace-estate-isolo-for-rent-mo6ZwZ396nTmSSBtM5l1RyUx.html
51,"Mini Flat in Frsc Estate, Lokogoma for rent","₦ 350,000 per annum",7,https://jiji.ng/lokogoma/houses-apartments-for-rent/mini-flat-in-frsc-estate-lokogoma-for-rent-fpiu7W4C8apw8goKu5rH81jz.html
